timestamp,response_time,scaled_response_time,dbscan_cluster,dbscan_anomaly,kmeans_cluster,kmeans_anomaly,final_anomaly
2025-03-31 18:12:07.682,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:07.899,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:08.115,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:08.335,4,0.029264681089747252,0,0,0,0,0
2025-03-31 18:12:08.547,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:08.765,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:08.987,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:09.200,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:09.419,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:09.638,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:09.857,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:10.075,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:10.293,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:10.511,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:10.729,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:10.949,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:11.168,3,-0.027559942385490116,0,0,0,0,0
2025-03-31 18:12:11.384,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:11.601,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:11.820,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:12.048,10,0.3702124219411715,0,0,0,0,0
2025-03-31 18:12:12.260,4,0.029264681089747252,0,0,0,0,0
2025-03-31 18:12:12.474,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:12.690,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:12.912,3,-0.027559942385490116,0,0,0,0,0
2025-03-31 18:12:13.126,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:13.345,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:13.562,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:13.782,2,-0.08438456586072748,0,0,0,0,0
2025-03-31 18:12:13.999,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:14.227,9,0.3133877984659341,0,0,0,0,0
2025-03-31 18:12:14.453,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:14.672,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:14.888,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:15.107,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:15.327,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:15.543,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:15.761,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:15.983,6,0.142913928040222,0,0,0,0,0
2025-03-31 18:12:16.197,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:16.415,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:16.634,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:16.850,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:17.070,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:17.289,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:17.507,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:17.723,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:17.940,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:18.160,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:18.375,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:18.593,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:18.813,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:19.029,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:19.244,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:19.464,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:19.684,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:19.899,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:20.119,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:20.334,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:20.551,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:20.769,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:20.987,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:21.204,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:21.419,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:21.638,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:21.856,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:22.073,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:22.291,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:22.508,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:22.727,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:22.946,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:23.164,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:23.379,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:23.596,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:23.814,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:24.033,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:24.254,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:24.471,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:24.686,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:24.890,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:25.107,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:25.324,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:25.542,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:25.761,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:25.979,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:26.196,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:26.413,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:26.631,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:26.848,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:27.067,1,-0.14120918933596485,0,0,0,0,0
